placeDcid,placeName,Date:Count_Person,Value:Count_Person,Source:Count_Person
geoId/72047,Corozal Municipio,2018,34165,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72047,Corozal Municipio,2019,33500,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72047,Corozal Municipio,2020,32928,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72049,Culebra Municipio,2011,1831,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72049,Culebra Municipio,2012,1535,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72049,Culebra Municipio,2013,1478,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72049,Culebra Municipio,2014,1585,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72049,Culebra Municipio,2015,1557,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72049,Culebra Municipio,2016,1508,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72049,Culebra Municipio,2017,1494,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72049,Culebra Municipio,2018,1314,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72049,Culebra Municipio,2019,1311,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72049,Culebra Municipio,2020,1371,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72051,Dorado Municipio,2011,37942,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72051,Dorado Municipio,2012,38179,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72051,Dorado Municipio,2013,38303,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
geoId/72051,Dorado Municipio,2014,38305,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
